accuracy,loss,val_accuracy,val_loss,learning_rate
0.46644002199172974,1.9512213468551636,0.6760315895080566,1.1168036460876465,0.0010000000474974513
0.6595744490623474,1.166271686553955,0.7357330918312073,0.9181481599807739,0.0010000000474974513
0.7081596851348877,0.9652687311172485,0.7611940503120422,0.885343074798584,0.0010000000474974513
0.7361263632774353,0.8739728927612305,0.754170298576355,0.8842864632606506,0.0010000000474974513
0.7591577172279358,0.7735939621925354,0.773485541343689,0.8498823642730713,0.0010000000474974513
0.7826277613639832,0.7159069776535034,0.7664617896080017,0.8585745692253113,0.0010000000474974513
0.797324001789093,0.6488265991210938,0.7647058963775635,0.8549163937568665,0.0010000000474974513
0.8258389830589294,0.5442281365394592,0.7524144053459167,0.8549088835716248,0.0005000000237487257
0.8365869522094727,0.5069438219070435,0.7726075649261475,0.8436569571495056,0.0005000000237487257
0.8481026291847229,0.4758771061897278,0.7673397660255432,0.8655744791030884,0.0005000000237487257
0.8491994142532349,0.46098676323890686,0.7611940503120422,0.8645429611206055,0.0005000000237487257
0.8663083910942078,0.4056427776813507,0.7690957188606262,0.8477741479873657,0.0002500000118743628
0.8731081485748291,0.3912995755672455,0.7726075649261475,0.8526849150657654,0.0002500000118743628
0.8833077549934387,0.36874955892562866,0.771729588508606,0.844241738319397,0.0001250000059371814
0.8876946568489075,0.3473241925239563,0.771729588508606,0.8474465608596802,0.0001250000059371814
0.8898881077766418,0.33288437128067017,0.7805092334747314,0.8417880535125732,6.25000029685907e-05
0.8885720372200012,0.33752623200416565,0.7778753042221069,0.837083637714386,6.25000029685907e-05
0.887475311756134,0.34807348251342773,0.7752414345741272,0.8377835154533386,6.25000029685907e-05
0.8957008123397827,0.3327498733997345,0.7805092334747314,0.8375926613807678,6.25000029685907e-05
0.8961395025253296,0.3288494944572449,0.7831431031227112,0.8386750221252441,3.125000148429535e-05
0.8932880163192749,0.3199644088745117,0.7822651267051697,0.8400598764419556,3.125000148429535e-05
0.8938363790512085,0.33199048042297363,0.7805092334747314,0.8403400778770447,1.5625000742147677e-05
0.8969072103500366,0.32080936431884766,0.7769973874092102,0.8409108519554138,1.5625000742147677e-05
0.9001973867416382,0.3156946301460266,0.7778753042221069,0.8411909341812134,7.812500371073838e-06
0.8942750692367554,0.3180697560310364,0.7787532806396484,0.8397564888000488,7.812500371073838e-06
